Attrition,Employee Attrition Status,Business Travel,Department,Education Field,emp no,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Age Group,Daily Rate,Distance From Home,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,1,Travel_Rarely,R&D,Medical,STAFF-25,Male,Research Scientist,Single,No,2,34,26-35,$699.00 ,6,High School,2,83,3,1,1,"$2,960.00 ","$17,102.00 ",2,11,3,3,0,8,3,4,2,1,3
No,0,Travel_Rarely,R&D,Other,STAFF-26,Female,Manager,Divorced,No,3,53,46-55,"$1,282.00 ",5,Bachelor's Degree,3,58,3,5,3,"$19,094.00 ","$10,735.00 ",4,11,3,4,1,26,2,14,13,4,8
Yes,1,Travel_Frequently,R&D,Life Sciences,STAFF-27,Female,Research Scientist,Single,Yes,5,32,26-35,"$1,125.00 ",16,High School,2,72,1,1,1,"$3,919.00 ","$4,681.00 ",1,22,4,2,0,10,3,10,2,6,7
No,0,Travel_Rarely,Sales,Marketing,STAFF-28,Male,Sales Executive,Married,No,2,42,36-45,$691.00 ,8,Master's Degree,3,48,3,2,2,"$6,825.00 ","$21,173.00 ",0,11,3,4,1,10,3,9,7,4,2
No,0,Travel_Rarely,R&D,Medical,STAFF-29,Female,Healthcare Representative,Married,No,4,44,36-45,$477.00 ,7,Master's Degree,1,42,2,3,4,"$10,248.00 ","$2,094.00 ",3,14,3,4,1,24,3,22,6,5,17
No,0,Travel_Rarely,Sales,Marketing,STAFF-30,Female,Manager,Single,No,2,46,46-55,$705.00 ,2,Master's Degree,2,83,3,5,1,"$18,947.00 ","$22,822.00 ",3,12,3,4,0,22,2,2,2,2,1
No,0,Travel_Rarely,R&D,Medical,STAFF-31,Male,Laboratory Technician,Single,No,3,33,26-35,$924.00 ,2,Bachelor's Degree,3,78,3,1,4,"$2,496.00 ","$6,670.00 ",4,11,3,4,0,7,3,1,1,0,0
No,0,Travel_Rarely,R&D,Other,STAFF-32,Male,Healthcare Representative,Married,Yes,5,44,36-45,"$1,459.00 ",10,Master's Degree,4,41,3,2,4,"$6,465.00 ","$19,121.00 ",2,13,3,4,0,9,4,4,2,1,3
No,0,Travel_Rarely,R&D,Medical,STAFF-33,Male,Laboratory Technician,Single,No,5,30,26-35,$125.00 ,9,Associates Degree,4,83,2,1,3,"$2,206.00 ","$16,117.00 ",1,13,3,1,0,10,3,10,0,1,8
Yes,1,Travel_Rarely,Sales,Technical Degree,STAFF-34,Male,Sales Representative,Married,No,6,39,36-45,$895.00 ,5,Bachelor's Degree,4,56,3,2,4,"$2,086.00 ","$3,335.00 ",3,14,3,3,1,19,4,1,0,0,0
Yes,1,Travel_Rarely,R&D,Medical,STAFF-35,Male,Research Scientist,Married,Yes,2,24,18-25,$813.00 ,1,Bachelor's Degree,2,61,3,1,4,"$2,293.00 ","$3,020.00 ",2,16,3,1,1,6,2,2,0,2,0
No,0,Travel_Rarely,R&D,Medical,STAFF-36,Female,Research Scientist,Divorced,No,3,43,36-45,"$1,273.00 ",2,Associates Degree,4,72,4,1,3,"$2,645.00 ","$21,923.00 ",1,12,3,4,2,6,2,5,3,1,4
Yes,1,Travel_Rarely,Sales,Marketing,STAFF-37,Male,Sales Representative,Married,Yes,2,50,46-55,$869.00 ,3,Associates Degree,1,86,2,1,3,"$2,683.00 ","$3,810.00 ",1,14,3,3,0,3,3,3,2,0,2
No,0,Travel_Rarely,Sales,Marketing,STAFF-38,Female,Sales Representative,Married,No,3,35,26-35,$890.00 ,2,Bachelor's Degree,4,97,3,1,4,"$2,014.00 ","$9,687.00 ",1,13,3,1,0,2,3,2,2,2,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-39,Female,Research Scientist,Married,Yes,3,36,36-45,$852.00 ,5,Master's Degree,2,82,2,1,1,"$3,419.00 ","$13,072.00 ",9,14,3,4,1,6,4,1,1,0,0
No,0,Travel_Frequently,Sales,Life Sciences,STAFF-40,Female,Sales Executive,Married,No,3,33,26-35,"$1,141.00 ",1,Bachelor's Degree,3,42,4,2,1,"$5,376.00 ","$3,193.00 ",2,19,3,1,2,10,3,5,3,1,3
No,0,Travel_Rarely,R&D,Other,STAFF-41,Male,Laboratory Technician,Divorced,No,3,35,26-35,$464.00 ,4,Associates Degree,3,75,3,1,4,"$1,951.00 ","$10,910.00 ",1,12,3,3,1,1,3,1,0,0,0
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-42,Female,Laboratory Technician,Divorced,No,6,27,26-35,"$1,240.00 ",2,Master's Degree,4,33,3,1,1,"$2,341.00 ","$19,715.00 ",1,13,3,4,1,1,3,1,0,0,0
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-43,Male,Laboratory Technician,Single,No,2,26,26-35,"$1,357.00 ",25,Bachelor's Degree,1,48,1,1,3,"$2,293.00 ","$10,558.00 ",1,12,3,3,0,1,2,1,0,0,1
No,0,Travel_Frequently,Sales,Life Sciences,STAFF-44,Male,Sales Executive,Single,No,0,27,26-35,$994.00 ,8,Bachelor's Degree,4,37,3,3,3,"$8,726.00 ","$2,975.00 ",1,15,3,4,0,9,3,9,8,1,7
No,0,Travel_Frequently,R&D,Medical,STAFF-45,Female,Laboratory Technician,Single,No,2,30,26-35,$721.00 ,1,Associates Degree,3,58,3,2,4,"$4,011.00 ","$10,781.00 ",1,23,4,4,0,12,3,12,8,3,7
Yes,1,Travel_Rarely,R&D,Technical Degree,STAFF-46,Female,Research Director,Married,No,0,41,36-45,"$1,360.00 ",12,Bachelor's Degree,2,49,3,5,3,"$19,545.00 ","$16,280.00 ",1,12,3,4,0,23,3,22,15,15,8
No,0,Non-Travel,Sales,Marketing,STAFF-47,Male,Sales Executive,Single,No,2,34,26-35,"$1,065.00 ",23,Master's Degree,2,72,3,2,3,"$4,568.00 ","$10,034.00 ",0,20,4,3,0,10,3,9,5,8,7
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-48,Male,Research Scientist,Married,No,1,37,36-45,$408.00 ,19,Associates Degree,2,73,3,1,2,"$3,022.00 ","$10,227.00 ",4,21,4,1,0,8,3,1,0,0,0
No,0,Travel_Frequently,Sales,Marketing,STAFF-49,Male,Sales Executive,Single,Yes,4,46,46-55,"$1,211.00 ",5,Master's Degree,1,98,3,2,4,"$5,772.00 ","$20,445.00 ",4,21,4,3,0,14,3,9,6,0,8
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-50,Male,Laboratory Technician,Married,No,2,35,26-35,"$1,229.00 ",8,High School,4,36,4,1,4,"$2,269.00 ","$4,892.00 ",1,19,3,4,0,1,3,1,0,0,1
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-51,Male,Laboratory Technician,Single,Yes,2,48,46-55,$626.00 ,1,Associates Degree,1,98,2,3,3,"$5,381.00 ","$19,294.00 ",9,13,3,4,0,23,3,1,0,0,0
Yes,1,Travel_Rarely,R&D,Technical Degree,STAFF-52,Male,Laboratory Technician,Single,Yes,3,28,26-35,"$1,434.00 ",5,Master's Degree,3,50,3,1,3,"$3,441.00 ","$11,179.00 ",1,13,3,3,0,2,2,2,2,2,2
No,0,Travel_Rarely,Sales,Marketing,STAFF-53,Female,Sales Executive,Divorced,Yes,2,44,36-45,"$1,488.00 ",1,Doctoral Degree,2,75,3,2,1,"$5,454.00 ","$4,009.00 ",5,21,4,3,1,9,2,4,3,1,3
No,0,Non-Travel,R&D,Medical,STAFF-54,Male,Healthcare Representative,Married,Yes,3,35,26-35,"$1,097.00 ",11,Associates Degree,3,79,2,3,1,"$9,884.00 ","$8,302.00 ",2,13,3,3,1,10,3,4,0,2,3
No,0,Travel_Rarely,Sales,Marketing,STAFF-55,Female,Sales Executive,Married,Yes,2,26,26-35,"$1,443.00 ",23,Bachelor's Degree,3,47,2,2,4,"$4,157.00 ","$21,436.00 ",7,19,3,3,1,5,2,2,2,0,0
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-56,Female,Research Director,Single,Yes,1,33,26-35,$515.00 ,1,Associates Degree,1,98,3,3,4,"$13,458.00 ","$15,146.00 ",1,12,3,3,0,15,3,15,14,8,12
No,0,Travel_Frequently,Sales,Life Sciences,STAFF-57,Male,Sales Executive,Married,No,3,35,26-35,$853.00 ,18,Doctoral Degree,2,71,3,3,1,"$9,069.00 ","$11,031.00 ",1,22,4,4,1,9,2,9,8,1,8
No,0,Travel_Rarely,R&D,Medical,STAFF-58,Female,Laboratory Technician,Married,Yes,3,35,26-35,"$1,142.00 ",23,Master's Degree,3,30,3,1,1,"$4,014.00 ","$16,002.00 ",3,15,3,3,1,4,3,2,2,2,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-59,Male,Laboratory Technician,Divorced,No,3,31,26-35,$655.00 ,7,Master's Degree,4,48,3,2,4,"$5,915.00 ","$9,528.00 ",3,22,4,4,1,10,2,7,7,1,7
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-60,Male,Manufacturing Director,Divorced,No,2,37,36-45,"$1,115.00 ",1,Master's Degree,1,51,2,2,3,"$5,993.00 ","$2,689.00 ",1,18,3,3,1,7,4,7,5,0,7
No,0,Travel_Rarely,R&D,Medical,STAFF-61,Male,Manufacturing Director,Married,Yes,3,32,26-35,$427.00 ,1,Bachelor's Degree,1,33,3,2,4,"$6,162.00 ","$10,877.00 ",1,22,4,2,1,9,3,9,8,7,8
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-62,Female,Laboratory Technician,Single,No,2,38,36-45,$653.00 ,29,Doctoral Degree,4,50,3,2,4,"$2,406.00 ","$5,456.00 ",1,11,3,4,0,10,3,10,3,9,9
No,0,Travel_Rarely,R&D,Medical,STAFF-63,Female,Research Director,Divorced,Yes,2,50,46-55,$989.00 ,7,Associates Degree,2,43,2,5,3,"$18,740.00 ","$16,701.00 ",5,12,3,4,1,29,2,27,3,13,8
No,0,Travel_Rarely,Sales,Life Sciences,STAFF-64,Female,Sales Executive,Single,No,3,59,56-65,"$1,435.00 ",25,Bachelor's Degree,1,99,3,3,1,"$7,637.00 ","$2,354.00 ",7,11,3,4,0,28,2,21,16,7,9
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-65,Female,Healthcare Representative,Divorced,No,2,36,36-45,"$1,223.00 ",8,Bachelor's Degree,3,59,3,3,3,"$10,096.00 ","$8,202.00 ",1,13,3,2,3,17,3,17,14,12,8
No,0,Travel_Rarely,R&D,Medical,STAFF-66,Female,Manager,Divorced,Yes,2,55,46-55,$836.00 ,8,Bachelor's Degree,4,33,3,4,3,"$14,756.00 ","$19,730.00 ",2,14,3,3,3,21,3,5,0,0,2
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-67,Male,Manufacturing Director,Single,No,3,36,36-45,"$1,195.00 ",11,Bachelor's Degree,2,95,2,2,2,"$6,499.00 ","$22,656.00 ",1,13,3,3,0,6,3,6,5,0,3
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-68,Male,Research Scientist,Divorced,No,2,45,36-45,"$1,339.00 ",7,Bachelor's Degree,2,59,3,3,1,"$9,724.00 ","$18,787.00 ",2,17,3,3,1,25,3,1,0,0,0
No,0,Travel_Frequently,R&D,Medical,STAFF-69,Male,Research Scientist,Married,No,2,35,26-35,$664.00 ,1,Bachelor's Degree,2,79,3,1,1,"$2,194.00 ","$5,868.00 ",4,13,3,4,1,5,2,3,2,1,2
Yes,1,Travel_Rarely,R&D,Medical,STAFF-70,Male,Research Scientist,Married,Yes,0,36,36-45,$318.00 ,9,Bachelor's Degree,4,79,2,1,3,"$3,388.00 ","$21,777.00 ",0,17,3,1,1,2,2,1,0,0,0
No,0,Travel_Frequently,Sales,Life Sciences,STAFF-71,Female,Sales Executive,Single,No,2,59,56-65,"$1,225.00 ",1,High School,1,57,2,2,3,"$5,473.00 ","$24,668.00 ",7,11,3,4,0,20,2,4,3,1,3
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-72,Male,Research Scientist,Married,No,3,29,26-35,"$1,328.00 ",2,Bachelor's Degree,3,76,3,1,2,"$2,703.00 ","$4,956.00 ",0,23,4,4,1,6,3,5,4,0,4
No,0,Travel_Rarely,R&D,Medical,STAFF-73,Male,Research Scientist,Single,No,4,31,26-35,"$1,082.00 ",1,Master's Degree,3,87,3,1,2,"$2,501.00 ","$18,775.00 ",1,17,3,2,0,1,3,1,1,1,0
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-74,Male,Research Scientist,Married,No,3,32,26-35,$548.00 ,1,Bachelor's Degree,2,66,3,2,2,"$6,220.00 ","$7,346.00 ",1,17,3,2,2,10,3,10,4,0,9
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-75,Female,Laboratory Technician,Married,No,3,36,36-45,$132.00 ,6,Bachelor's Degree,2,55,4,1,4,"$3,038.00 ","$22,002.00 ",3,12,3,2,0,5,3,1,0,0,0
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-76,Female,Manufacturing Director,Single,No,2,31,26-35,$746.00 ,8,Master's Degree,3,61,3,2,4,"$4,424.00 ","$20,682.00 ",1,23,4,4,0,11,3,11,7,1,8
No,0,Travel_Rarely,Sales,Marketing,STAFF-77,Male,Sales Executive,Single,No,2,35,26-35,$776.00 ,1,Master's Degree,3,32,2,2,1,"$4,312.00 ","$23,016.00 ",0,14,3,2,0,16,3,15,13,2,8
No,0,Travel_Rarely,R&D,Other,STAFF-78,Male,Research Director,Married,Yes,3,45,36-45,$193.00 ,6,Master's Degree,4,52,3,3,1,"$13,245.00 ","$15,067.00 ",4,14,3,2,0,17,4,0,0,0,0
No,0,Travel_Rarely,R&D,Medical,STAFF-79,Male,Research Director,Single,No,3,37,36-45,$397.00 ,7,Master's Degree,1,30,3,3,3,"$13,664.00 ","$25,258.00 ",4,13,3,1,0,16,4,5,2,0,2
No,0,Travel_Rarely,HR,Medical,STAFF-80,Male,Human Resources,Divorced,Yes,2,46,46-55,$945.00 ,5,Associates Degree,2,80,3,2,2,"$5,021.00 ","$10,425.00 ",8,22,4,4,1,16,3,4,2,0,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-81,Male,Laboratory Technician,Married,Yes,1,30,26-35,$852.00 ,1,High School,4,55,2,2,4,"$5,126.00 ","$15,998.00 ",1,12,3,3,2,10,2,10,8,3,0
No,0,Travel_Rarely,R&D,Medical,STAFF-82,Male,Research Scientist,Single,No,3,35,26-35,"$1,214.00 ",1,Bachelor's Degree,2,30,2,1,3,"$2,859.00 ","$26,278.00 ",1,18,3,1,0,6,3,6,4,0,4
No,0,Travel_Rarely,Sales,Life Sciences,STAFF-83,Male,Sales Executive,Married,No,4,55,46-55,$111.00 ,1,Associates Degree,1,70,3,3,4,"$10,239.00 ","$18,092.00 ",3,14,3,4,1,24,3,1,0,1,0
No,0,Non-Travel,R&D,Medical,STAFF-84,Female,Research Scientist,Divorced,Yes,3,38,36-45,$573.00 ,6,Bachelor's Degree,2,79,1,2,4,"$5,329.00 ","$15,717.00 ",7,12,3,4,3,17,3,13,11,1,9
No,0,Travel_Rarely,R&D,Medical,STAFF-85,Male,Manufacturing Director,Married,No,2,34,26-35,"$1,153.00 ",1,Associates Degree,1,94,3,2,2,"$4,325.00 ","$17,736.00 ",1,15,3,3,0,5,3,5,2,1,3
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-86,Male,Manufacturing Director,Single,No,3,56,56-65,"$1,400.00 ",7,Bachelor's Degree,4,49,1,3,4,"$7,260.00 ","$21,698.00 ",4,11,3,1,0,37,2,6,4,0,2
No,0,Travel_Rarely,Sales,Technical Degree,STAFF-87,Male,Sales Representative,Divorced,No,3,23,18-25,$541.00 ,2,High School,3,62,3,1,1,"$2,322.00 ","$9,518.00 ",3,13,3,3,1,3,3,0,0,0,0
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-88,Male,Laboratory Technician,Married,No,4,51,46-55,$432.00 ,9,Master's Degree,4,96,3,1,4,"$2,075.00 ","$18,725.00 ",3,23,4,2,2,10,3,4,2,0,3
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-89,Male,Healthcare Representative,Married,No,3,30,26-35,$288.00 ,2,Bachelor's Degree,3,99,2,2,4,"$4,152.00 ","$15,830.00 ",1,19,3,1,3,11,3,11,10,10,8
Yes,1,Travel_Rarely,Sales,Medical,STAFF-90,Male,Sales Executive,Single,No,3,46,46-55,$669.00 ,9,Associates Degree,3,64,2,3,4,"$9,619.00 ","$13,596.00 ",1,16,3,4,0,9,3,9,8,4,7
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-91,Male,Healthcare Representative,Married,No,3,40,36-45,$530.00 ,1,Master's Degree,3,78,2,4,2,"$13,503.00 ","$14,115.00 ",1,22,4,4,1,22,2,22,3,11,11
No,0,Travel_Rarely,Sales,Marketing,STAFF-92,Male,Sales Executive,Single,Yes,2,51,46-55,$632.00 ,21,Master's Degree,3,71,3,2,4,"$5,441.00 ","$8,423.00 ",0,22,4,4,0,11,1,10,7,1,0
No,0,Travel_Rarely,Sales,Medical,STAFF-93,Female,Sales Executive,Divorced,Yes,4,30,26-35,"$1,334.00 ",4,Associates Degree,3,63,2,2,2,"$5,209.00 ","$19,760.00 ",1,12,3,2,3,11,2,11,8,2,7
No,0,Travel_Frequently,R&D,Medical,STAFF-94,Male,Healthcare Representative,Married,Yes,5,46,46-55,$638.00 ,1,Bachelor's Degree,3,40,2,3,1,"$10,673.00 ","$3,142.00 ",2,13,3,3,1,21,2,10,9,9,5
No,0,Travel_Rarely,Sales,Medical,STAFF-95,Male,Sales Executive,Single,No,0,32,26-35,"$1,093.00 ",6,Master's Degree,2,87,3,2,3,"$5,010.00 ","$24,301.00 ",1,16,3,1,0,12,3,11,8,5,7
No,0,Travel_Rarely,R&D,Technical Degree,STAFF-96,Female,Research Director,Married,No,5,54,46-55,"$1,217.00 ",2,Master's Degree,1,60,3,3,3,"$13,549.00 ","$24,001.00 ",9,12,3,1,1,16,1,4,3,0,3
No,0,Travel_Rarely,Sales,Other,STAFF-97,Female,Sales Executive,Married,No,2,24,18-25,"$1,353.00 ",3,Associates Degree,1,33,3,2,3,"$4,999.00 ","$17,519.00 ",0,21,4,1,1,4,2,3,2,0,2
No,0,Non-Travel,Sales,Medical,STAFF-98,Male,Sales Executive,Married,No,3,28,26-35,$120.00 ,4,Bachelor's Degree,2,43,3,2,3,"$4,221.00 ","$8,863.00 ",1,15,3,2,0,5,4,5,4,0,4
No,0,Travel_Rarely,Sales,Medical,STAFF-99,Male,Sales Executive,Single,No,1,58,56-65,$682.00 ,10,Master's Degree,4,37,3,4,3,"$13,872.00 ","$24,409.00 ",0,13,3,3,0,38,2,37,10,1,8
No,0,Non-Travel,R&D,Medical,STAFF-100,Male,Laboratory Technician,Married,No,3,44,36-45,$489.00 ,23,Bachelor's Degree,2,67,3,2,2,"$2,042.00 ","$25,043.00 ",4,12,3,3,1,17,4,3,2,1,2
Yes,1,Travel_Rarely,HR,Human Resources,STAFF-101,Male,Human Resources,Divorced,Yes,3,37,36-45,$807.00 ,6,Master's Degree,3,63,3,1,1,"$2,073.00 ","$23,648.00 ",4,22,4,4,0,7,3,3,2,0,2
No,0,Travel_Rarely,R&D,Life Sciences,STAFF-102,Male,Research Scientist,Single,No,2,32,26-35,$827.00 ,1,High School,4,71,3,1,1,"$2,956.00 ","$15,178.00 ",1,13,3,4,0,1,3,1,0,0,0
Yes,1,Travel_Frequently,R&D,Life Sciences,STAFF-103,Female,Laboratory Technician,Single,Yes,5,20,18-25,$871.00 ,6,Bachelor's Degree,4,66,2,1,4,"$2,926.00 ","$19,783.00 ",1,18,3,2,0,1,3,1,0,1,0
No,0,Travel_Rarely,R&D,Other,STAFF-104,Female,Research Scientist,Single,No,3,34,26-35,$665.00 ,6,Master's Degree,1,41,3,2,3,"$4,809.00 ","$12,482.00 ",1,14,3,3,0,16,3,16,13,2,10
No,0,Non-Travel,R&D,Life Sciences,STAFF-105,Male,Healthcare Representative,Divorced,No,2,37,36-45,"$1,040.00 ",2,Associates Degree,3,100,2,2,4,"$5,163.00 ","$15,850.00 ",5,14,3,4,1,17,4,1,0,0,0
No,0,Non-Travel,HR,Human Resources,STAFF-106,Female,Manager,Married,No,3,59,56-65,"$1,420.00 ",2,Master's Degree,3,32,2,5,4,"$18,844.00 ","$21,922.00 ",9,21,4,4,1,30,3,3,2,2,2
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-107,Female,Research Director,Married,Yes,1,50,46-55,"$1,115.00 ",1,Bachelor's Degree,1,73,3,5,2,"$18,172.00 ","$9,755.00 ",3,19,3,1,0,28,2,8,3,0,7
Yes,1,Travel_Rarely,Sales,Marketing,STAFF-108,Male,Sales Executive,Single,Yes,1,25,18-25,$240.00 ,5,Bachelor's Degree,3,46,2,2,3,"$5,744.00 ","$26,959.00 ",1,11,3,4,0,6,3,6,4,0,3
No,0,Travel_Rarely,R&D,Medical,STAFF-109,Male,Research Scientist,Married,No,2,25,18-25,"$1,280.00 ",7,High School,4,64,2,1,4,"$2,889.00 ","$26,897.00 ",1,11,3,3,2,2,3,2,2,2,1
